INSTNM,CITY,STABBR,INSTURL,HCM2,main,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,first_gen,DISTANCEONLY,UGDS,UG,NPT4_PUB,NPT4_PRIV,NPT4_048_PUB,NPT4_048_PRIV,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4_POOLED,C150_L4_POOLED,RPY_3YR_RT,LO_INC_RPY_3YR_RT,MD_INC_RPY_3YR_RT,HI_INC_RPY_3YR_RT,DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,GRAD_DEBT_MDN10YR,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,gt_25k_p10,count_nwne_p10,count_wne_p10,mn_earn_wne_p10,md_earn_wne_p10,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10,mn_earn_wne_inc1_p10,mn_earn_wne_inc2_p10,mn_earn_wne_inc3_p10,CURROPER
Navarro College,Corsicana,TX,www.navarrocollege.edu,0,1,1,2,2,1,32.0761,-96.4987,NULL,0.560000002,0,10256,4048,8957,NULL,8273,NULL,9443,NULL,12988,NULL,1702,4252,NULL,NULL,0.152970094,0.376221929,0.319103062,0.429227941,0.583090379,8883,8826.5,9500,8250,157.0718034,24384,15206,4972,2750,0.611271679,270,1384,34200,31100,7000,16400,45400,63400,30600,37900,40600,1
Neilson Beauty College,Dallas,TX,www.neilsonbeautycollege.com,0,1,1,1,1,3,32.7429,-96.8291,NULL,0.970000029,0,51,59,NULL,3632,NULL,3632,NULL,NULL,NULL,NULL,NULL,NULL,10650,NULL,0.8065,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.260273963,25,73,17400,16500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Lone Star College System,The Woodlands,TX,www.lonestar.edu,0,1,1,2,2,1,30.1884,-95.4901,NULL,0.519999981,0,56288,24554,6141,NULL,5597,NULL,7041,NULL,9941,NULL,1408,3448,NULL,NULL,0.115909288,0.507036747,0.454575597,0.562628337,0.638613861,7210,7582,7153,5500,130.9264757,20000,12260,4318,2625,0.629048109,996,4076,37200,32900,7300,16900,49700,69500,35200,39900,48500,1
North Lake College,Irving,TX,www.northlakecollege.edu/Pages/default.aspx,0,1,1,2,2,1,32.8719,-96.9671,NULL,0.469999999,0,9319,8615,6822,NULL,6459,NULL,7674,NULL,11251,NULL,1560,4590,NULL,NULL,0.094779147,0.509127789,0.477848101,PrivacySuppressed,PrivacySuppressed,5500,5500,6551.5,4652,NULL,16422,9500,3647,2750,0.690240443,153,707,39700,35900,8100,20400,51400,74000,38700,40800,PrivacySuppressed,1
University of North Texas,Denton,TX,www.unt.edu,0,1,1,3,4,1,33.211,-97.1512,0.5969,0.340000004,0,31243,21059,10774,NULL,3498,NULL,8722,NULL,16590,NULL,8745,17241,NULL,0.490979786,NULL,0.78355293,0.723158402,0.798630137,0.847603834,14955,13630,15500,15000,230.3675375,34949,25000,7000,4500,0.771965206,776,6442,45900,42100,11700,26900,57800,79500,43700,47100,46700,1
Northeast Texas Community College,Mount Pleasant,TX,www.ntcc.edu,0,1,1,2,2,1,33.1049,-94.8819,NULL,0.610000014,0,3020,1832,6421,NULL,5731,NULL,7062,NULL,10999,NULL,1775,4113,NULL,NULL,0.190783534,0.47826087,0.351351351,PrivacySuppressed,PrivacySuppressed,7125,8250,5500,5500,102.6939625,18700,11250,4600,2750,0.519867539,172,604,31000,26500,5300,14600,41600,63300,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Northwood University-Texas,Cedar Hill,TX,www.northwood.edu,0,0,3,3,4,2,32.6071,-96.9671,0.2578,0.469999999,0,645,1014,NULL,12000,NULL,9589,NULL,11088,NULL,15753,22130,22130,NULL,0.380745607,NULL,0.785304659,0.711301045,0.797244094,PrivacySuppressed,18750,18750,18970,17500,260.6150727,40000,28500,9500,5250,0.75999999,226,1850,49500,44600,11700,26000,64100,91200,41500,48000,58000,1
Oblate School of Theology,San Antonio,TX,www.ost.edu,0,1,1,4,4,2,29.5055,-98.5033,NULL,NULL,0,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
Ocean Corporation,Houston,TX,www.oceancorp.com,0,1,1,1,1,3,29.6655,-95.5703,NULL,0.439999998,0,360,124,NULL,23447,NULL,22546,NULL,25480,NULL,28119,NULL,NULL,18500,NULL,0.743511958,0.585434174,0.532653061,PrivacySuppressed,PrivacySuppressed,9500,9500,9500,PrivacySuppressed,105.469475,9500,9500,5500,4750,0.748987854,54,247,55600,46900,7000,25000,78500,111500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Odessa College,Odessa,TX,www.odessa.edu,0,1,1,2,2,1,31.8663,-102.3819,NULL,0.600000024,0,3781,4568,4294,NULL,3763,NULL,5089,NULL,9400,NULL,2460,4920,NULL,NULL,0.184437805,0.609550562,0.524271845,0.725490196,PrivacySuppressed,6000,6100,6875,PrivacySuppressed,94.367425,16610,9536,3500,2000,0.615517259,251,1160,37300,32000,6800,17800,50600,72500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Ogle School Hair Skin Nails-Arlington,Arlington,TX,www.ogleschool.com,0,1,3,1,1,3,32.7213,-97.1407,NULL,0.469999999,0,212,168,NULL,16399,NULL,16076,NULL,17168,NULL,19503,NULL,NULL,16350,NULL,0.656590065,0.459330144,0.38490566,PrivacySuppressed,PrivacySuppressed,7917,7917,7917,PrivacySuppressed,107.8453137,13420,10608,4584,3095,0.388157904,101,304,22600,18800,2500,8800,31000,47900,22400,22200,PrivacySuppressed,1
Ogle School Hair Skin Nails-Ft Worth,Fort Worth,TX,www.ogleschool.com,0,1,3,1,1,3,32.6738,-97.3804,NULL,0.5,0,223,92,NULL,16678,NULL,16390,NULL,17066,NULL,19747,NULL,NULL,16350,NULL,0.613691336,0.47277677,0.420485175,0.501976285,PrivacySuppressed,7917,7720.5,7983,PrivacySuppressed,99.7186131,13552,10410,5209,3171,0.359060407,123,298,23800,17900,3400,9800,32600,47000,21800,24600,PrivacySuppressed,1
Our Lady of the Lake University,San Antonio,TX,www.ollusa.edu,0,1,1,3,4,2,29.4256,-98.544,0.6561,0.540000021,0,1509,2233,NULL,16080,NULL,14789,NULL,16074,NULL,20261,23938,23938,NULL,0.307836711,NULL,0.6587473,0.625,0.701538462,PrivacySuppressed,17500,17704,17725,15250,280.3267625,38319,28500,8000,4750,0.76302731,97,806,40800,39200,13100,25700,50800,69200,38900,39900,46500,1
The University of Texas-Pan American,Edinburg,TX,www.utpa.edu,0,1,1,3,4,1,26.3066,-98.1721,0.6217,0.579999983,0,17200,11186,2452,NULL,1373,NULL,3422,NULL,10506,NULL,5173,13669,NULL,0.39372252,NULL,0.726325329,0.712146989,0.762100927,0.740625,9621,9666,9241,10000,144.2544867,25611,17381,4730,2750,0.719376385,404,4041,43000,40500,11500,22700,52200,77700,41200,45600,51200,1
The University of Texas at Brownsville,Brownsville,TX,WWW.UTB.EDU,0,1,1,3,4,1,25.8997,-97.4916,NULL,0.550000012,0,10379,8385,7793,NULL,7254,NULL,8952,NULL,12998,NULL,5372,14834,NULL,0.251541369,NULL,0.6113091,0.591576885,0.666666667,0.678787879,10425,10124.5,10284.5,10500,196.6062035,36363,21344,4500,2625,0.592307687,475,3120,35400,29400,9300,17500,45200,65600,33800,39700,42400,1
Panola College,Carthage,TX,www.panola.edu,0,1,1,1,2,1,32.1563,-94.3563,NULL,0.579999983,0,2699,1424,7734,NULL,7674,NULL,7822,NULL,NULL,NULL,1680,3432,NULL,NULL,0.213639744,0.443037975,0.428571429,PrivacySuppressed,PrivacySuppressed,5250,5250,5499,3500,77.71435,12971,8750,2750,1750,0.572368443,138,608,33600,29400,5500,14400,46000,67300,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Paris Junior College,Paris,TX,www.parisjc.edu/,0,1,1,2,2,1,33.6511,-95.5293,NULL,0.660000026,0,3964,2942,6058,NULL,5929,NULL,6568,NULL,7258,NULL,1428,3300,NULL,NULL,0.209549638,0.382422803,0.329386437,0.525951557,PrivacySuppressed,4750,6500,3500,3500,58.2857625,12999,9500,3500,1750,0.5335145,306,1104,30600,26400,5100,14100,42000,60200,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Paul Quinn College,Dallas,TX,www.pqc.edu,0,1,1,3,3,2,32.6772,-96.7559,0.9858,0.460000008,0,243,674,NULL,13197,NULL,13197,NULL,NULL,NULL,NULL,13525,13525,NULL,0.023176834,NULL,0.370689655,0.357142857,PrivacySuppressed,PrivacySuppressed,9500,9500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,39219,20000,4750,4750,0.580121696,81,493,31100,29500,4900,14300,44000,53500,27000,36700,32200,1
Prairie View A & M University,Prairie View,TX,www.pvamu.edu,0,1,1,3,4,1,30.0946,-95.9921,0.4232,0.370000005,0,6731,5285,9394,NULL,8179,NULL,10325,NULL,14579,NULL,6764,15350,NULL,0.363462891,NULL,0.428358654,0.391400221,0.454463481,0.514634146,17438,15676,18981.5,18750,322.5367566,42318,30500,9071,4750,0.640543342,266,1914,37200,33600,7200,17900,49800,71600,35800,37600,39200,1
Ranger College,Ranger,TX,www.rangercollege.edu,0,1,1,1,2,1,32.4669,-98.6804,NULL,0.540000021,0,1738,847,5293,NULL,5093,NULL,5544,NULL,NULL,NULL,2790,4830,NULL,NULL,0.220385106,0.46124031,0.37593985,0.494117647,PrivacySuppressed,5575.5,6326.5,5000,PrivacySuppressed,104.7478418,16080,9823.5,2750,1833,0.595744669,62,376,32500,30300,5400,17700,43400,56200,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Aviation Institute of Maintenance-Houston,Houston,TX,www.aviation.edu/AIM-Houston/default.aspx,0,1,1,1,1,3,29.6585,-95.2826,NULL,0.569999993,0,251,378,NULL,24994,NULL,24567,NULL,25805,NULL,28413,18007,18007,NULL,NULL,0.588229412,PrivacySuppressed,PrivacySuppressed,NULL,NULL,16729,16500,20000,PrivacySuppressed,222.041,27916,22250,9500,4750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
Rice University,Houston,TX,www.rice.edu,0,1,1,3,4,2,29.7165,-95.4036,0.1674,0.140000001,0,3920,2692,NULL,16730,NULL,7960,NULL,9133,NULL,29516,38941,38941,NULL,0.917568454,NULL,0.964114833,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7727,PrivacySuppressed,7950,10000,93.40154665,23782.5,15000,5000,2500,0.911832929,45,431,81300,59900,25700,45900,95600,161600,71700,84700,82800,1
Richland College,Dallas,TX,www.richlandcollege.edu/,0,1,1,2,2,1,32.9221,-96.7305,NULL,0.469999999,0,15979,12537,7580,NULL,7180,NULL,8423,NULL,11661,NULL,1560,4590,NULL,NULL,0.09297396,0.462333826,0.449339207,0.470930233,PrivacySuppressed,5500,6038,5500,4750,NULL,17179,9750,3517,2750,0.674013913,390,1724,39300,36200,7700,18900,51200,72100,36600,44500,43500,1
Kaplan College-McAllen,McAllen,TX,www.kaplancollege.com/mcallen-tx/,0,0,4,1,2,3,26.1861,-98.2071,NULL,0.639999986,0,538,680,NULL,20534,NULL,20461,NULL,21268,NULL,24175,NULL,NULL,16012,NULL,0.775340273,0.26588785,0.245443061,0.371191136,PrivacySuppressed,9392,9378,9479,9498,105.4250668,12776,9500,6006,3412,0.46226415,414,2226,26000,23600,6900,13900,33200,44700,25500,27400,PrivacySuppressed,1
Saint Edward's University,Austin,TX,www.stedwards.edu,0,1,1,3,4,2,30.2298,-97.7576,0.7853,0.289999992,0,4077,3105,NULL,20191,NULL,15743,NULL,17988,NULL,26048,33720,33720,NULL,0.692207871,NULL,0.839901478,0.791738382,0.835164835,PrivacySuppressed,21500,23124,22625,19500,277.55125,39000,28750,11000,5500,0.775164604,131,1063,50200,44700,10000,27200,64800,89500,45900,49600,55000,1
St Philip's College,San Antonio,TX,www.alamo.edu/spc/,0,1,1,2,2,1,29.4146,-98.453,NULL,0.579999983,0,7898,7921,4412,NULL,4233,NULL,5399,NULL,7615,NULL,2038,10822,NULL,NULL,0.042905391,0.577089337,0.530194473,0.682779456,PrivacySuppressed,9500,9500,9500,5500,116.571525,27000,17000,4500,2500,0.587195754,651,2999,33100,28800,6900,16200,44900,63000,30800,38300,41100,1
University of St Thomas,Houston,TX,www.stthom.edu,0,1,1,3,4,2,29.7381,-95.3942,0.7724,0.330000013,0,1529,1904,NULL,20025,NULL,17219,NULL,19912,NULL,24325,28240,28240,NULL,0.495674093,NULL,0.798353909,0.77027027,0.817567568,PrivacySuppressed,20000,20000,20284,PrivacySuppressed,277.55125,43000,31250,9500,4750,0.822368443,76,456,56900,48800,15600,32100,68500,96800,53900,54000,64200,1
Sam Houston State University,Huntsville,TX,www.shsu.edu/,0,1,1,3,4,1,30.7247,-95.5519,0.6499,0.419999987,0,16255,10855,12392,NULL,10918,NULL,12107,NULL,17256,NULL,7022,15518,NULL,0.49531699,NULL,0.777574538,0.717741935,0.785209353,PrivacySuppressed,16490,16419,17717,15000,246.7319592,36687,26698,8250,5000,0.780737698,390,3416,45400,41400,11900,27500,55300,78900,43400,44700,48000,1
San Antonio College,San Antonio,TX,www.alamo.edu/sac,0,1,1,2,2,1,29.4452,-98.4963,NULL,0.569999993,0,19524,19253,4461,NULL,4132,NULL,5433,NULL,9124,NULL,2038,10822,NULL,NULL,0.059779578,0.567879326,0.514112903,PrivacySuppressed,PrivacySuppressed,8000,9000,7500,5500,116.9878519,25942,15000,4500,2250,0.612637937,1006,4985,34600,30600,6900,17100,45800,65100,32400,37800,49000,1
San Jacinto Community College,Pasadena,TX,www.sjcd.edu,0,1,3,2,2,1,29.6603,-95.1159,NULL,0.569999993,0,24775,10507,7217,NULL,6760,NULL,7895,NULL,11816,NULL,1312,3496,NULL,NULL,0.144044089,0.542593597,0.469557196,0.616465863,PrivacySuppressed,6000,6625,5500,5500,105.469475,19530,11250,3500,2000,0.669112742,586,2998,39400,35600,8200,18800,52400,75600,36600,44300,45200,1
San Jacinto College-North Campus,Houston,TX,http://www.sjcd.edu,0,0,3,0,0,1,NULL,NULL,NULL,0.569999993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1312,3496,NULL,NULL,NULL,0.542593597,0.469557196,0.616465863,PrivacySuppressed,6000,6625,5500,5500,105.469475,19530,11250,3500,2000,0.669112742,586,2998,39400,35600,8200,18800,52400,75600,36600,44300,45200,1
San Jacinto College-South Campus,Houston,TX,http://www.sjcd.edu,0,0,3,0,0,1,NULL,NULL,NULL,0.569999993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1312,3496,NULL,NULL,NULL,0.542593597,0.469557196,0.616465863,PrivacySuppressed,6000,6625,5500,5500,105.469475,19530,11250,3500,2000,0.669112742,586,2998,39400,35600,8200,18800,52400,75600,36600,44300,45200,1
Schreiner University,Kerrville,TX,www.schreiner.edu,0,1,1,3,4,2,30.0311,-99.1311,0.9262,0.409999996,0,1051,751,NULL,18154,NULL,15387,NULL,15707,NULL,22140,22484,22484,NULL,0.376256634,NULL,0.767891683,0.676470588,0.798850575,PrivacySuppressed,14250,14128,16250,PrivacySuppressed,279.77166,36000,27000,6250,4750,0.690607727,52,362,40400,36700,10000,21500,51900,69100,34200,40900,49500,1
Seguin Beauty School-Seguin,Seguin,TX,www.seguinbeautyschool.net,0,1,2,1,1,3,29.5691,-97.9644,NULL,0.600000024,0,48,29,NULL,12347,NULL,12053,NULL,14956,NULL,NULL,NULL,NULL,13450,NULL,0.59375,0.454545455,0.392156863,PrivacySuppressed,PrivacySuppressed,6850,6033,PrivacySuppressed,PrivacySuppressed,99.91845,12070,9500,4750,2750,0.306666672,24,75,20200,15500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
St Mary's University,San Antonio,TX,www.stmarytx.edu/,0,1,1,3,4,2,29.4518,-98.5643,0.5823,0.409999996,0,2390,2618,NULL,18791,NULL,16675,NULL,18584,NULL,22727,25126,25126,NULL,0.558819407,NULL,0.783505155,0.729064039,0.794797688,PrivacySuppressed,20000,19735.5,19609.5,21500,296.2582043,42500,30600,9500,5250,0.825791836,92,884,50300,46300,17900,32500,61600,85300,48100,48800,53600,1
South Plains College,Levelland,TX,www.southplainscollege.edu/,0,1,1,2,2,1,33.5759,-102.3651,NULL,0.579999983,0,7765,6731,3079,NULL,2811,NULL,3893,NULL,6002,NULL,2497,2977,NULL,NULL,0.213323077,0.602084831,0.536996337,0.646201873,0.720588235,6500,7690,6000,5500,130.560108,19601,12659,3750,2405,0.603850067,476,2961,34500,30300,6400,17100,45600,64900,31800,37200,39600,1
South Texas Barber College Inc,Corpus Christi,TX,www.southtexasbarbercollege.net,0,1,1,1,1,3,27.7529,-97.4171,NULL,0.699999988,0,42,NULL,NULL,2893,NULL,2893,NULL,4193,NULL,NULL,NULL,NULL,7700,NULL,0.427253636,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
South Texas College of Law,Houston,TX,www.stcl.edu,0,1,1,4,4,2,29.7534,-95.3649,NULL,PrivacySuppressed,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
South Texas Vo-Tech Institute,Weslaco,TX,www.stvt.edu,0,1,2,1,1,3,26.1716,-97.9652,NULL,0.689999998,0,316,335,NULL,27740,NULL,27661,NULL,27984,NULL,30722,NULL,NULL,18260,NULL,0.630588668,0.224537037,0.210981409,0.314741036,PrivacySuppressed,9625,9571.5,10612,PrivacySuppressed,121.8561008,12417,11243,6333,3209,0.357142866,75,434,23400,19100,5400,11600,30200,43200,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Southern Methodist University,Dallas,TX,www.smu.edu,0,1,1,3,4,2,32.8453,-96.7849,0.507,0.209999993,0,6295,5662,NULL,30408,NULL,19551,NULL,23156,NULL,37184,43800,43800,NULL,0.792912411,NULL,0.88442623,PrivacySuppressed,0.89800995,0.923413567,19000,19500,19500,18230,249.796125,32000,27000,10000,5500,0.816578507,135,1134,64400,52200,14900,32500,80100,126200,68600,58200,65500,1
Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,www.sws.edu,0,1,3,1,1,3,29.3678,-98.5173,NULL,0.819999993,0,230,81,NULL,17340,NULL,17340,NULL,17700,NULL,NULL,NULL,NULL,14550,NULL,0.686034433,0.210526316,0.196601942,PrivacySuppressed,PrivacySuppressed,6126,6126,PrivacySuppressed,PrivacySuppressed,71.6970389,7500,7084,5144,3111,0.349514574,92,309,20800,20000,6100,11300,27500,35800,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Southwest School of Business and Technical Careers-South Texas,McAllen,TX,http://www.sws.edu,0,0,3,0,0,3,NULL,NULL,NULL,0.819999993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14550,NULL,NULL,0.210526316,0.196601942,PrivacySuppressed,PrivacySuppressed,6126,6126,PrivacySuppressed,PrivacySuppressed,71.6970389,7500,7084,5144,3111,0.349514574,92,309,20800,20000,6100,11300,27500,35800,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Southwest Texas Junior College,Uvalde,TX,www.swtjc.net,0,1,1,2,2,1,29.2197,-99.7412,NULL,0.610000014,0,3872,3715,6903,NULL,6492,NULL,7935,NULL,11951,NULL,1996,3988,NULL,NULL,0.225033333,0.543396226,0.491525424,0.658730159,PrivacySuppressed,5500,6500,5000,5500,77.71435,17401,10500,3499,2000,0.529702961,231,1414,31300,26500,6800,15300,40600,58800,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Southwestern Assemblies of God University,Waxahachie,TX,www.sagu.edu,0,1,1,3,4,2,32.4055,-96.8532,0.3486,0.430000007,0,1669,1666,NULL,21158,NULL,19679,NULL,20543,NULL,23115,17830,17830,NULL,0.349655011,NULL,0.704225352,0.618798956,0.750759878,PrivacySuppressed,16970,16115,16500,17500,294.204325,41227,28750,7250,3500,0.626420438,103,704,34600,31600,6200,18400,45400,63500,31900,34900,38400,1
Southwestern University,Georgetown,TX,www.southwestern.edu,0,1,1,3,3,2,30.6352,-97.6646,0.5217,0.150000006,0,1528,1309,NULL,21292,NULL,16226,NULL,18563,NULL,26061,35240,35240,NULL,0.726241341,NULL,0.906779661,PrivacySuppressed,0.864661654,PrivacySuppressed,20644,22719.5,22375,19500,294.9204072,35462,27000,8750,5500,0.82432431,17,296,54000,47200,13200,32600,68000,96300,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Stephen F Austin State University,Nacogdoches,TX,www.sfasu.edu,0,1,1,3,4,1,31.5856,-94.5855,0.5687,0.400000006,0,10715,10246,18853,NULL,16941,NULL,18953,NULL,21746,NULL,8412,19032,NULL,0.433665777,NULL,0.705274043,0.591068741,0.747016706,0.846153846,16074,16409.5,16750,15000,277.55125,41000,28092,8250,4750,0.767279088,386,3429,43300,39700,12000,26400,53300,74100,39100,45000,45900,1
Texas State University,San Marcos,TX,www.txstate.edu,0,1,1,3,4,1,29.8892,-97.9364,0.7508,0.349999994,0,31005,19412,14104,NULL,10554,NULL,13751,NULL,19043,NULL,8060,17264,NULL,0.561966661,NULL,0.801822323,0.751799597,0.819541376,0.848281016,15750,16000,16115,15000,241.0754647,34891,25991,7500,4500,0.801242232,683,6118,47800,43700,13500,29700,60000,82200,45400,48600,49100,1
Southwestern Adventist University,Keene,TX,www.swau.edu/,0,1,1,3,4,2,32.3971,-97.3285,0.5392,0.319999993,0,715,1156,NULL,18102,NULL,15756,NULL,18762,NULL,22590,18640,18640,NULL,0.32942,NULL,0.731591449,0.676190476,0.78030303,PrivacySuppressed,17995,17500,18750,PrivacySuppressed,299.75535,37500,28750,7923,3500,0.71216619,50,337,43000,37900,9300,20300,55400,79100,43400,40700,45600,1
Southwestern Christian College,Terrell,TX,www.swcc.edu,0,1,1,2,3,2,32.7358,-96.2867,NULL,0.360000014,0,169,211,NULL,6461,NULL,6169,NULL,7735,NULL,6634,7620,7620,NULL,0.2805,NULL,0.179245283,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,6885,5500,PrivacySuppressed,PrivacySuppressed,122.12255,14600,11000,3926,2750,0.464912295,25,114,27600,22500,5300,13500,38100,53700,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Sul Ross State University,Alpine,TX,www.sulross.edu,0,1,1,3,4,1,30.3629,-103.6506,0.522,0.50999999,0,2000,1990,11064,NULL,9293,NULL,12042,NULL,16070,NULL,5436,13932,NULL,0.274172811,NULL,0.584029712,0.550810015,0.63898917,PrivacySuppressed,10250,11000,10500,8175,185.7150924,29700,18889,5036,2750,0.730021596,125,926,40500,38000,11600,23600,48900,70400,38900,43200,41300,1
Tarleton State University,Stephenville,TX,www.tarleton.edu,0,1,1,3,4,1,32.2157,-98.2201,0.5682,0.460000008,0,11328,6222,14978,NULL,12880,NULL,14985,NULL,17362,NULL,5856,14352,NULL,0.41085233,NULL,0.791642484,0.734195402,0.813262195,PrivacySuppressed,13118,14405,13000,12000,238.694075,33904,24811,6506,4344,0.777147472,317,2468,44900,40400,12800,27400,55800,78500,42100,45200,47800,1
Tarrant County College District,Fort Worth,TX,www.tccd.edu,0,1,1,2,2,1,32.7475,-97.3279,NULL,0.5,0,43464,26868,5983,NULL,5775,NULL,6803,NULL,9668,NULL,1320,4920,NULL,NULL,0.092357306,0.517849074,0.445957096,0.589339339,0.643659711,4500,4539,4500,4144.5,94.8337111,14581,8574,2750,1657,0.662014425,822,4299,37800,34300,7700,18600,50000,69600,34600,41200,49200,1
Temple College,Temple,TX,www.templejc.edu,0,1,1,2,2,1,31.0706,-97.351,NULL,0.519999981,0,5292,3404,7194,NULL,6461,NULL,8019,NULL,10421,NULL,2160,5664,NULL,NULL,0.079992381,0.473218238,0.392832045,0.597315436,0.642857143,9500,9500,9500,7000,183.838846,27094,17598,5250,3136,0.621140122,166,842,34400,31100,5800,17400,45600,65600,30600,38000,44900,1
University of Texas Southwestern Medical Center,Dallas,TX,www.utsouthwestern.edu,0,1,1,3,4,1,32.8195,-96.8423,NULL,0.200000003,0,10,239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.956730783,10,208,132900,81500,35100,55200,186100,250000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
The University of Texas Health Science Center at San Antonio,San Antonio,TX,www.uthscsa.edu,0,1,1,3,4,1,29.5047,-98.5761,NULL,0.349999994,0,793,762,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,0.925490196,0.911538462,PrivacySuppressed,PrivacySuppressed,15500,17000,15610.5,PrivacySuppressed,174.9127978,26250,22000,9500,5500,0.940433204,24,554,96500,71000,32400,51600,100700,183900,113700,75700,71800,1
The University of Texas Medical Branch,Galveston,TX,www.utmb.edu,0,1,1,3,4,1,29.3113,-94.7764,NULL,0.360000014,0,725,653,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.919220056,0.907514451,PrivacySuppressed,PrivacySuppressed,15000,19209,15000,PrivacySuppressed,166.53075,25000,25000,11000,5500,0.92338711,15,248,71000,68500,30200,50200,89300,104900,74200,72100,64600,1
Texas State Technical College-Waco,Waco,TX,www.waco.tstc.edu,0,1,1,2,2,1,31.6374,-97.0837,NULL,0.5,0,3699,3814,8104,NULL,6944,NULL,8360,NULL,11845,NULL,3342,7200,NULL,NULL,0.235176304,0.431756553,0.337264151,0.565853659,0.707246377,9080,9500,8000,7000,155.434251,25917,16022,4168,2334,0.637106657,584,2447,39500,33500,7100,18000,54300,77500,34400,44300,50000,1
Texarkana College,Texarkana,TX,www.texarkanacollege.edu,0,1,1,1,2,1,33.4419,-94.0788,NULL,0.610000014,0,2884,3735,8707,NULL,8591,NULL,9736,NULL,11754,NULL,2330,5030,NULL,NULL,0.171475045,NULL,NULL,NULL,NULL,5500,6289,5500,4000,75.49394,14628,9664,3200,2000,0.529605269,204,912,31100,27200,6500,14600,42300,55600,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
